State,Generation,Date,Estimated_Consumption,Estimated_Surplus,Energy_Status
ओडिशा / Odisha,0.0,Report-2025-12-09,0.0,0.0,Surplus
पश्चिम बंगाल / West Bengal,0.0,Report-2025-12-09,0.0,0.0,Surplus
सिक्किम / Sikkim,0.0,Report-2025-12-09,0.0,0.0,Surplus
पूर्वी क्षेत्र/Eastern Region,0.0,Report-2025-12-09,0.0,0.0,Surplus
अरुणाचल प्रदेश / Arunachal Pradesh,0.0,Report-2025-12-09,0.0,0.0,Surplus
असम / Assam,0.0,Report-2025-12-09,0.0,0.0,Surplus
मणिपुर / Manipur,0.0,Report-2025-12-09,0.0,0.0,Surplus
मेघालय / Meghalaya,0.0,Report-2025-12-09,0.0,0.0,Surplus
मिज़ोरम / Mizoram,0.0,Report-2025-12-09,0.0,0.0,Surplus
नागालैंड / Nagaland,0.0,Report-2025-12-09,0.0,0.0,Surplus
त्रिपुरा / Tripura,0.0,Report-2025-12-09,0.0,0.0,Surplus
उत्तर-पूर्वी क्षेत्र/North-Eastern Region,0.0,Report-2025-12-09,0.0,0.0,Surplus
राज्य / State / क्षेत्र / Region,10.0,Report-2025-12-10,9.66,0.34,Surplus
चंडीगढ़ / Chandigarh,0.0,Report-2025-12-10,0.0,0.0,Surplus
दिल्ली / Delhi,0.0,Report-2025-12-10,0.0,0.0,Surplus
हरियाणा / Haryana,0.0,Report-2025-12-10,0.0,0.0,Surplus
हिमाचल प्रदेश / Himachal Pradesh,0.0,Report-2025-12-10,0.0,0.0,Surplus
जम्मू और कश्मीर / Jammu and Kashmir,0.0,Report-2025-12-10,0.0,0.0,Surplus
लद्दाख़ / Ladakh,0.0,Report-2025-12-10,0.0,0.0,Surplus
पंजाब / Punjab,0.0,Report-2025-12-10,0.0,0.0,Surplus
राजस्थान / Rajasthan,3.93,Report-2025-12-10,3.99,-0.06,Deficit
उत्तर प्रदेश / Uttar Pradesh,0.0,Report-2025-12-10,0.0,0.0,Surplus
उत्तराखंड / Uttarakhand,0.0,Report-2025-12-10,0.0,0.0,Surplus
उत्तरी क्षेत्र/Northern Region,3.93,Report-2025-12-10,3.66,0.27,Surplus
छत्तीसगढ़ / Chhattisgarh,0.0,Report-2025-12-10,0.0,0.0,Surplus
गुजरात / Gujarat,46.18,Report-2025-12-10,44.89,1.29,Surplus
मध्य प्रदेश / Madhya Pradesh,1.9,Report-2025-12-10,1.78,0.12,Surplus
महाराष्ट्र / Maharashtra,26.09,Report-2025-12-10,25.25,0.84,Surplus
दमन और दीव / Daman & Diu,0.0,Report-2025-12-10,0.0,0.0,Surplus
दादरा और नगर ​​हवेली / Dadra & Nagar Haveli,0.0,Report-2025-12-10,0.0,0.0,Surplus
गोआ / Goa,0.0,Report-2025-12-10,0.0,0.0,Surplus
पश्चिमी क्षेत्र/Western Region,74.17,Report-2025-12-10,68.61,5.56,Surplus
आंध्र प्रदेश / Andhra Pradesh,11.26,Report-2025-12-10,10.82,0.44,Surplus
तेलंगाना / Telangana,1.08,Report-2025-12-10,1.07,0.01,Surplus
कर्नाटक / Karnataka,39.99,Report-2025-12-10,39.0,0.99,Surplus
केरल / Kerala,0.27,Report-2025-12-10,0.27,0.0,Surplus
तमिलनाडु / Tamil Nadu,44.73,Report-2025-12-10,44.39,0.34,Surplus
पांडिचेरी / Pondicherry,0.0,Report-2025-12-10,0.0,0.0,Surplus
दक्षिणी क्षेत्र/Southern Region,97.33,Report-2025-12-10,90.3,7.03,Surplus
बिहार / Bihar,0.0,Report-2025-12-10,0.0,0.0,Surplus
झारखंड / Jharkhand,0.0,Report-2025-12-10,0.0,0.0,Surplus
ओडिशा / Odisha,0.0,Report-2025-12-10,0.0,0.0,Surplus
पश्चिम बंगाल / West Bengal,0.0,Report-2025-12-10,0.0,0.0,Surplus
सिक्किम / Sikkim,0.0,Report-2025-12-10,0.0,0.0,Surplus
पूर्वी क्षेत्र/Eastern Region,0.0,Report-2025-12-10,0.0,0.0,Surplus
अरुणाचल प्रदेश / Arunachal Pradesh,0.0,Report-2025-12-10,0.0,0.0,Surplus
असम / Assam,0.0,Report-2025-12-10,0.0,0.0,Surplus
मणिपुर / Manipur,0.0,Report-2025-12-10,0.0,0.0,Surplus
मेघालय / Meghalaya,0.0,Report-2025-12-10,0.0,0.0,Surplus
मिज़ोरम / Mizoram,0.0,Report-2025-12-10,0.0,0.0,Surplus
नागालैंड / Nagaland,0.0,Report-2025-12-10,0.0,0.0,Surplus
त्रिपुरा / Tripura,0.0,Report-2025-12-10,0.0,0.0,Surplus
उत्तर-पूर्वी क्षेत्र/North-Eastern Region,0.0,Report-2025-12-10,0.0,0.0,Surplus
राज्य / State / क्षेत्र / Region,11.0,Report-2025-12-11,10.2,0.8,Surplus
चंडीगढ़ / Chandigarh,0.0,Report-2025-12-11,0.0,0.0,Surplus
दिल्ली / Delhi,0.0,Report-2025-12-11,0.0,0.0,Surplus
हरियाणा / Haryana,0.0,Report-2025-12-11,0.0,0.0,Surplus
हिमाचल प्रदेश / Himachal Pradesh,0.0,Report-2025-12-11,0.0,0.0,Surplus
जम्मू और कश्मीर / Jammu and Kashmir,0.0,Report-2025-12-11,0.0,0.0,Surplus
लद्दाख़ / Ladakh,0.0,Report-2025-12-11,0.0,0.0,Surplus
पंजाब / Punjab,0.0,Report-2025-12-11,0.0,0.0,Surplus
राजस्थान / Rajasthan,2.18,Report-2025-12-11,2.01,0.17,Surplus
उत्तर प्रदेश / Uttar Pradesh,0.0,Report-2025-12-11,0.0,0.0,Surplus
उत्तराखंड / Uttarakhand,0.0,Report-2025-12-11,0.0,0.0,Surplus
उत्तरी क्षेत्र/Northern Region,2.18,Report-2025-12-11,2.03,0.15,Surplus
छत्तीसगढ़ / Chhattisgarh,0.0,Report-2025-12-11,0.0,0.0,Surplus
गुजरात / Gujarat,28.36,Report-2025-12-11,28.05,0.31,Surplus
मध्य प्रदेश / Madhya Pradesh,1.6,Report-2025-12-11,1.63,-0.03,Deficit
महाराष्ट्र / Maharashtra,13.74,Report-2025-12-11,13.75,-0.01,Deficit
दमन और दीव / Daman & Diu,0.0,Report-2025-12-11,0.0,0.0,Surplus
दादरा और नगर ​​हवेली / Dadra & Nagar Haveli,0.0,Report-2025-12-11,0.0,0.0,Surplus
गोआ / Goa,0.0,Report-2025-12-11,0.0,0.0,Surplus
पश्चिमी क्षेत्र/Western Region,43.7,Report-2025-12-11,43.81,-0.11,Deficit
आंध्र प्रदेश / Andhra Pradesh,8.04,Report-2025-12-11,8.11,-0.07,Deficit
तेलंगाना / Telangana,0.89,Report-2025-12-11,0.92,-0.03,Deficit
कर्नाटक / Karnataka,32.82,Report-2025-12-11,31.68,1.14,Surplus
केरल / Kerala,0.37,Report-2025-12-11,0.36,0.01,Surplus
तमिलनाडु / Tamil Nadu,47.29,Report-2025-12-11,47.55,-0.26,Deficit
पांडिचेरी / Pondicherry,0.0,Report-2025-12-11,0.0,0.0,Surplus
दक्षिणी क्षेत्र/Southern Region,89.41,Report-2025-12-11,91.41,-2.0,Deficit
बिहार / Bihar,0.0,Report-2025-12-11,0.0,0.0,Surplus
झारखंड / Jharkhand,0.0,Report-2025-12-11,0.0,0.0,Surplus
ओडिशा / Odisha,0.0,Report-2025-12-11,0.0,0.0,Surplus
पश्चिम बंगाल / West Bengal,0.0,Report-2025-12-11,0.0,0.0,Surplus
सिक्किम / Sikkim,0.0,Report-2025-12-11,0.0,0.0,Surplus
पूर्वी क्षेत्र/Eastern Region,0.0,Report-2025-12-11,0.0,0.0,Surplus
अरुणाचल प्रदेश / Arunachal Pradesh,0.0,Report-2025-12-11,0.0,0.0,Surplus
असम / Assam,0.0,Report-2025-12-11,0.0,0.0,Surplus
मणिपुर / Manipur,0.0,Report-2025-12-11,0.0,0.0,Surplus
मेघालय / Meghalaya,0.0,Report-2025-12-11,0.0,0.0,Surplus
मिज़ोरम / Mizoram,0.0,Report-2025-12-11,0.0,0.0,Surplus
नागालैंड / Nagaland,0.0,Report-2025-12-11,0.0,0.0,Surplus
त्रिपुरा / Tripura,0.0,Report-2025-12-11,0.0,0.0,Surplus
उत्तर-पूर्वी क्षेत्र/North-Eastern Region,0.0,Report-2025-12-11,0.0,0.0,Surplus
