timestamp,solar_generation,wind_generation,total_generation,demand,surplus,energy_status
2021-09-01 00:00:00,-267.79612922668457,93111.6494140625,1947232.0571422577,1930132.671875,17099.38526725769,Surplus
2021-09-01 01:00:00,-266.25408363342285,83478.03857421875,1910677.5337581635,1892763.9375,17913.596258163423,Surplus
2021-09-01 02:00:00,-266.8196334838867,74143.27197265625,1879486.8329544067,1861375.203125,18111.62982940674,Surplus
2021-09-01 03:00:00,-266.8238468170166,71486.4638671875,1854107.9815731049,1834979.15625,19128.82532310483,Surplus
2021-09-01 04:00:00,-235.36701011657715,68127.9443359375,1852172.0372867584,1833842.796875,18329.240411758423,Surplus
2021-09-01 05:00:00,-142.38225841522217,68933.67431640625,1865855.242009163,1844059.609375,21795.632634162903,Surplus
2021-09-01 06:00:00,6293.821029663086,64884.87841796875,1898123.9828948975,1876731.96875,21392.01414489746,Surplus
2021-09-01 07:00:00,60403.9423828125,58517.23046875,1948463.8603515625,1929579.734375,18884.1259765625,Surplus
2021-09-01 08:00:00,144233.5341796875,64361.45458984375,1968536.6867675781,1952925.96875,15610.718017578125,Surplus
2021-09-01 09:00:00,214599.3828125,66964.76953125,2033128.908203125,2020443.78125,12685.126953125,Surplus
2021-09-01 10:00:00,255597.400390625,67636.8994140625,2058400.17578125,2048459.421875,9940.75390625,Surplus
2021-09-01 11:00:00,267475.025390625,59697.0458984375,2045916.951171875,2032342.734375,13574.216796875,Surplus
2021-09-01 12:00:00,276981.28515625,59029.37890625,2032247.0993652344,2017377.5,14869.599365234375,Surplus
2021-09-01 13:00:00,263590.720703125,61474.85400390625,2009413.8295898438,1996841.828125,12572.00146484375,Surplus
2021-09-01 14:00:00,242196.353515625,66061.42138671875,2016365.7255859375,2007354.890625,9010.8349609375,Surplus
2021-09-01 15:00:00,197846.2578125,78138.337890625,1999081.9577636719,1988882.3125,10199.645263671875,Surplus
2021-09-01 16:00:00,128759.2919921875,90455.33740234375,1964036.9990234375,1951945.859375,12091.1396484375,Surplus
2021-09-01 17:00:00,57167.2470703125,104489.8408203125,1953140.5441894531,1943574.703125,9565.841064453125,Surplus
2021-09-01 18:00:00,13097.02963256836,119569.8955078125,2021868.8213806152,2012724.46875,9144.352630615234,Surplus
2021-09-01 19:00:00,1324.1331253051758,119201.361328125,2123458.487373352,2112525.234375,10933.25299835208,Surplus
2021-09-01 20:00:00,-128.29680728912354,105713.6943359375,2087854.153632164,2075594.515625,12259.63800716403,Surplus
2021-09-01 21:00:00,-156.8593921661377,101213.19677734375,2051634.3085765839,2039822.265625,11812.042951583862,Surplus
2021-09-01 22:00:00,-215.19557285308838,89228.7744140625,2020693.2873373032,2008414.34375,12278.943587303162,Surplus
2021-09-01 23:00:00,-279.21550369262695,82288.92041015625,1988343.8093986511,1975023.796875,13320.012523651123,Surplus
2021-09-02 00:00:00,-281.77953720092773,70697.67822265625,1938365.6459999084,1922222.140625,16143.505374908447,Surplus
2021-09-02 01:00:00,-282.18286895751953,69115.94384765625,1894561.75365448,1879911.5625,14650.19115447998,Surplus
2021-09-02 02:00:00,-283.02623176574707,68062.18994140625,1866200.5738658905,1852718.15625,13482.417615890503,Surplus
2021-09-02 03:00:00,-284.30354499816895,65860.294921875,1846786.9501171112,1832533.953125,14252.996992111206,Surplus
2021-09-02 04:00:00,-244.2866554260254,59186.1103515625,1848000.285610199,1833809.265625,14191.019985198975,Surplus
2021-09-02 05:00:00,-180.51411819458008,48402.591552734375,1851597.064983368,1836575.546875,15021.51810836792,Surplus
2021-09-02 06:00:00,5562.5589509010315,46696.54296875,1882438.786245823,1866111.71875,16327.067495822906,Surplus
2021-09-02 07:00:00,49264.00341796875,45599.234619140625,1942922.2336425781,1930233.625,12688.608642578125,Surplus
2021-09-02 08:00:00,127957.8134765625,48398.840087890625,1988229.2309570312,1977373.59375,10855.63720703125,Surplus
2021-09-02 09:00:00,189983.37890625,55507.5078125,2049743.9897460938,2041034.3125,8709.67724609375,Surplus
2021-09-02 10:00:00,226805.33984375,64795.65673828125,2083119.0783691406,2075394.015625,7725.062744140625,Surplus
2021-09-02 11:00:00,238207.2421875,69268.24951171875,2083832.52734375,2076156.015625,7676.51171875,Surplus
2021-09-02 12:00:00,249064.375,74818.1455078125,2072702.3591308594,2066430.9375,6271.421630859375,Surplus
2021-09-02 13:00:00,236164.17578125,78710.73583984375,2032934.1472167969,2026129.703125,6804.444091796875,Surplus
2021-09-02 14:00:00,221538.0546875,92200.65966796875,2046147.0202636719,2038655.453125,7491.567138671875,Surplus
2021-09-02 15:00:00,163620.8447265625,93357.86767578125,2035572.3825683594,2029748.265625,5824.116943359375,Surplus
2021-09-02 16:00:00,102316.50634765625,101572.3994140625,2017175.2060546875,2009359.46875,7815.7373046875,Surplus
2021-09-02 17:00:00,45893.79357910156,106070.6533203125,1994180.0748291016,1988036.9375,6143.1373291015625,Surplus
2021-09-02 18:00:00,8125.663909912109,107852.3291015625,2044708.117034912,2038069.640625,6638.476409912109,Surplus
2021-09-02 19:00:00,649.4728698730469,110618.5263671875,2133192.1820983887,2126448.421875,6743.760223388672,Surplus
2021-09-02 20:00:00,-9.976665496826172,107084.4599609375,2107916.4893989563,2102094.265625,5822.22377395627,Surplus
2021-09-02 21:00:00,-70.19136762619019,94144.10888671875,2072961.18607378,2068477.953125,4483.23294878006,Surplus
2021-09-02 22:00:00,-91.3184003829956,86833.955078125,2054239.1786699295,2047537.8125,6701.366169929504,Surplus
2021-09-02 23:00:00,-136.67053699493408,77817.87939453125,2010605.6705274582,2002816.515625,7789.154902458191,Surplus
2021-09-03 00:00:00,-183.84712886810303,71428.60546875,1963978.107949257,1957258.359375,6719.748574256897,Surplus
2021-09-03 01:00:00,-330.8604316711426,67430.1416015625,1922144.12052536,1916954.9375,5189.183025360107,Surplus
2021-09-03 02:00:00,-334.1141548156738,63223.1953125,1890509.514263153,1884615.03125,5894.483013153105,Surplus
2021-09-03 03:00:00,-326.6421756744385,61708.97412109375,1865766.868566513,1857820.203125,7946.6654415130615,Surplus
2021-09-03 04:00:00,-283.23242568969727,59014.4072265625,1860413.7719688416,1851316.53125,9097.240718841553,Surplus
2021-09-03 05:00:00,-228.68438339233398,58735.76220703125,1875083.1984291077,1864677.84375,10405.354679107666,Surplus
2021-09-03 06:00:00,3643.384813308716,56957.7734375,1897177.31108284,1886297.75,10879.561082839966,Surplus
2021-09-03 07:00:00,31458.68701171875,51562.437255859375,1954572.7556152344,1950598.21875,3974.536865234375,Surplus
2021-09-03 08:00:00,79289.26416015625,47201.17822265625,1993357.8310546875,1986379.171875,6978.6591796875,Surplus
2021-09-03 09:00:00,134560.681640625,51291.431640625,2051012.263671875,2043759.3125,7252.951171875,Surplus
2021-09-03 10:00:00,184864.2548828125,54480.89404296875,2071346.0654296875,2066574.609375,4771.4560546875,Surplus
2021-09-03 11:00:00,214201.55859375,61950.4736328125,2076242.1728515625,2072966.1875,3275.9853515625,Surplus
