1,2,3,4,5,6,Month,7,8,9,10,11,12,13,14,Estimated_Consumption,Estimated_Surplus,Energy_Status
"($) Large Hydro Generation data excluding  import from Bhutan.However,the import from Bhutan during August 2025  is 1549.55 MUs and April 2025 to August 2025 is 4895.34 MUs.",,,,,,RE_Monthly_Generation_report_August_2025,,,,,,,,,,,Deficit
,,,,,,RE_Monthly_Generation_report_February_2025,,,,Month - February 2025,,,,,,,Deficit
, Central Electricity Authority / केन्द्रीय विद्युत प्राधिकरण,,,,,RE_Monthly_Generation_report_February_2025,,,,,,,,,,,Deficit
,Renewable Energy Project Monitoring Division/नवीकरणीय ऊर्जा परियोजना प्रबोधन प्रभाग,,,,,RE_Monthly_Generation_report_February_2025,,,,,,,,,,,Deficit
1. SUMMARY-ALL INDIA                                                                                                                                               AN OVERVIEW,,,,,,RE_Monthly_Generation_report_February_2025,,,,,,,,,,,Deficit
Category, Installed Capacity (MW)  (as on 28.02.2025),"Monitored Capacity (MW) 
(as on 28.02.2025)
for which generation data is available 
",RE Generation(MU)  February 2025,RE Generation(MU)  February 2024,% of same Month Last Year ,RE_Monthly_Generation_report_February_2025,,,RE Generation(MU) April2024-  February 2025,RE Generation(MU) April 2023-  February 2024,% of same period Last Year ,,,,,,Deficit
पवन/Wind ,48588.56,47982.52,4592.478922052001,4907.579581,93.57930617838718,RE_Monthly_Generation_report_February_2025,78807.284749381,67673.092600214,78213.560366052,78807.284749381,99.24661230847234,73621.081444,73899.705168381,,76129.64,2677.64,Surplus
सौर/Solar ,102566.02,85089.9 (*),12913.576472604998,10421.2228419,123.916134109369,RE_Monthly_Generation_report_February_2025,103749.271811933,91769.907699827,127338.85372517498,103749.27181193301,122.73710600687681,114425.27725256998,93328.048970033,,95273.55,8475.72,Surplus
बायोमास/Biomass ,10743.109999999999,9927.81,339.16131899999993,271.06794099999996,125.12040994180127,RE_Monthly_Generation_report_February_2025,3112.039664,2873.394282,3392.3395239999995,3112.039664,109.00695011193147,3053.178205,2840.971723,,3031.99,80.05,Surplus
बगास/Bagasse,,,1556.290574,1725.322428,90.20288316799184,RE_Monthly_Generation_report_February_2025,9369.8799005,11179.50804017,8349.063841000001,9369.8799005,89.10534531562645,6792.7732670000005,7644.5574725,,8481.22,888.66,Surplus
लघु जल विद्युत्/Small Hydro ,5100.550000000001,4264.525,561.8714253,442.67458955000006,126.92651409496291,RE_Monthly_Generation_report_February_2025,9016.81973476,10591.78633738,10952.8820718,9016.81973476,121.47167620060593,10391.0106465,8574.14514521,,9345.01,-328.19,Deficit
बृहत् जल विद्युत्/Large Hydro($),46968.17,46968.17,6970.879999999999,5928.16,117.58926884564518,RE_Monthly_Generation_report_February_2025,127038.22,154325.21999999997,139780.44,127038.22,110.03022554944488,132809.56,121110.06,,119265.64,7772.58,Surplus
अन्य/Others,711.29,922.13,230.2945989,230.77403180000002,99.79225006545992,RE_Monthly_Generation_report_February_2025,2495.1251975000005,2299.7696202,2621.219769,2495.1251975000005,105.05363705301602,2390.9251701,2264.3511657000004,,2493.57,1.56,Surplus
कुल/Total Including Large Hydro,214677.69999999998,195155.055,27164.553311856995,23926.80141325,113.53190442251932,RE_Monthly_Generation_report_February_2025,333588.6410580741,340712.6785797909,370648.35929702705,333588.641058074,111.10940651978056,343483.80598517,309661.839644824,,315827.27,17761.37,Surplus
कुल/Total Excluding Large Hydro,167709.53,148186.88499999998,20193.673311856997,17998.64141325,112.1955421423702,RE_Monthly_Generation_report_February_2025,206550.421058074,186387.458579791,230867.919297027,206550.42105807402,111.77315355465474,210674.24598517,188551.779644824,,202008.42,4542.0,Surplus
 (*) Solar Installed capacity including 2.5 GW rooftop solar.,,,,,,RE_Monthly_Generation_report_February_2025,,,,,,,,,,,Deficit
"($) Large Hydro Generation data excluding  import from Bhutan.However,the import from Bhutan during  February 2025  is 70.63 MUs and April 2024 to   February 2025 is 5368.78 MUs.",,,,,,RE_Monthly_Generation_report_February_2025,,,,,,,,,,,Deficit
,,,,,,RE_Monthly_Generation_report_January_2025,,,,Month -January 2025,,,,,,,Deficit
, Central Electricity Authority / केन्द्रीय विद्युत प्राधिकरण,,,,,RE_Monthly_Generation_report_January_2025,,,,,,,,,,,Deficit
,Renewable Energy Project Monitoring Division/नवीकरणीय ऊर्जा परियोजना प्रबोधन प्रभाग,,,,,RE_Monthly_Generation_report_January_2025,,,,,,,,,,,Deficit
1. SUMMARY-ALL INDIA                                                                                                                                               AN OVERVIEW,,,,,,RE_Monthly_Generation_report_January_2025,,,,,,,,,,,Deficit
Category, Installed Capacity (MW)  (as on 31.01.2025),"Monitored Capacity (MW) 
(as on 31.01.2025)
for which generation data is available 
",RE Generation(MU) January 2025,RE Generation(MU) January 2024,% of same Month Last Year ,RE_Monthly_Generation_report_January_2025,,,RE Generation(MU) April2024- January 2025,RE Generation(MU) April 2023- January 2024,% of same period Last Year ,,,,,,Deficit
,1,2,3,4,5,RE_Monthly_Generation_report_January_2025,,,6,7,8,,,,,,Deficit
पवन/Wind ,48365.26,47890.41499999999,5637.692633000001,4075.1179805130005,138.34428009100964,RE_Monthly_Generation_report_January_2025,78807.284749381,67673.092600214,73621.081444,73899.705168381,99.62297045198468,67983.388811,69824.587187868,73.621081444,71972.63,6834.65,Surplus
सौर/Solar ,100329.83,81505.6595 (*),12285.741911129999,9008.466249862999,136.3799515962758,RE_Monthly_Generation_report_January_2025,103749.271811933,91769.907699827,114425.27725256998,93328.048970033,122.60545303942993,102139.53534144,84319.58272017,114.42527725256998,96424.31,7324.96,Surplus
बायोमास/Biomass ,10743.109999999999,9807.014000000001,356.40673000000004,306.359147,116.33624570706877,RE_Monthly_Generation_report_January_2025,3112.039664,2873.394282,3053.1782049999997,2840.971723,107.46950349002118,2696.771475,2534.612576,3.053178205,2821.95,290.09,Surplus
बगास/Bagasse,,,2041.061174,1967.4278999999997,103.74261613348068,RE_Monthly_Generation_report_January_2025,9369.8799005,11179.50804017,6792.7732670000005,7644.5574725,88.85763880297651,4751.712093,5677.1295725,6.792773267,8890.14,479.74,Surplus
लघु जल विद्युत्/Small Hydro ,5100.550000000001,4264.525,624.566843,482.87688555,129.34287427914762,RE_Monthly_Generation_report_January_2025,9016.81973476,10591.78633738,10391.0106465,8574.14514521,121.1900483432451,9766.4438035,8091.268259659999,10.391010646500002,8640.83,375.99,Surplus
बृहत् जल विद्युत्/Large Hydro($),46968.17,46968.17,7388.050000000001,6352.280000000001,116.30548401518826,RE_Monthly_Generation_report_January_2025,127038.22,154325.21999999997,132809.56,121110.06,109.66022145476602,125421.51,114757.78,132.80956,119505.15,7533.07,Surplus
अन्य/Others,663.4599999999999,858.5250000000001,239.23989049999997,223.1426405,107.21388344420886,RE_Monthly_Generation_report_January_2025,2495.1251975000005,2299.7696202,2390.9251701,2264.3511657000004,105.58985754141499,2151.6852796,2041.2085252,2.3909251701,2555.78,-60.65,Deficit
