1,2,3,4,5,6,Month,7,8,9,10,11,12,13,14,Estimated_Consumption,Estimated_Surplus,Energy_Status
बृहत् जल विद्युत्/Large Hydro($),47928.17,47928.17,13264.6,12629.769999999999,105.02645733057689,RE_Monthly_Generation_report_May_2025_2,127038.22,154325.21999999997,22882.75,20755.83,110.24733773595176,9618.149999999998,,,118566.83,8471.39,Surplus
अन्य/Others,850.91,946.86,252.0315,251.558,100.18822696952591,RE_Monthly_Generation_report_May_2025_2,2495.1251975000005,2299.7696202,497.6972,482.9209517,103.05976542288838,245.6657,,,2290.47,204.66,Surplus
कुल/Total Including Large Hydro,226750.77,202373.23,39869.2954455,35131.327750599994,113.48644642336095,RE_Monthly_Generation_report_May_2025_2,333588.6410580741,340712.6785797909,73333.52565899998,61892.7496953,118.48484034078834,33464.2302135,,,317123.46,16465.18,Surplus
कुल/Total Excluding Large Hydro,178822.6,154445.05999999997,26604.6954455,22501.5577506,118.23490506914167,RE_Monthly_Generation_report_May_2025_2,206550.421058074,186387.458579791,50450.77565899999,41136.9196953,122.64111176210434,23846.0802135,,,215109.14,-8558.72,Deficit
,,,,,,RE_Monthly_Generation_report_May_2025_2,,,,,,73333.525659,,,,,Deficit
 (*) Solar Installed capacity including 2.5 GW rooftop solar.,,,,,,RE_Monthly_Generation_report_May_2025_2,,,,,,,,,,,Deficit
"($) Large Hydro Generation data excluding  import from Bhutan.However,the import from Bhutan during May  2025  is 569.50 MUs and April 2025 to May 2025 is 731.51 MUs.",,,,,,RE_Monthly_Generation_report_May_2025_2,,,,,,,,,,,Deficit
,,,,Month -October 2025,,RE_Monthly_Generation_report_Oct_2025,,,,,,,,,,,Deficit
, Central Electricity Authority / केन्द्रीय विद्युत प्राधिकरण,,,,,RE_Monthly_Generation_report_Oct_2025,,,,,,,,,,,Deficit
,Renewable Energy Project Monitoring Division/नवीकरणीय ऊर्जा परियोजना प्रबोधन प्रभाग,,,,,RE_Monthly_Generation_report_Oct_2025,,,,,,,,,,,Deficit
1. SUMMARY-ALL INDIA                                                                                                                                               AN OVERVIEW,,,,,,RE_Monthly_Generation_report_Oct_2025,,,,,,,,,,,Deficit
Category, Installed Capacity (MW)  (as on 31.10.2025),"Monitored Capacity (MW) 
(as on 31.10.2025)
for which generation data is available 
",RE Generation(MU) October'2025,RE Generation(MU) October'2024,% of same Month Last Year ,RE_Monthly_Generation_report_Oct_2025,,,RE Generation(MU) April'2025- October'2025,RE Generation(MU) April'2024- October'2024,% of same period Last Year ,,,,,,Deficit
,1,2,3,4,5,RE_Monthly_Generation_report_Oct_2025,,,6,7,8,,,,,,Deficit
पवन/Wind ,53599.92,51666.68,6406.486129,3238.2773580000003,197.8362388624032,RE_Monthly_Generation_report_Oct_2025,78807.284749381,67673.092600214,79150.347452,59126.569462,133.8659559859448,72743.861323,,,74293.68,4513.6,Surplus
सौर/Solar ,129923.82,97573.19(*),13063.14100062,12256.612253999996,106.58035621838971,RE_Monthly_Generation_report_Oct_2025,103749.271811933,91769.907699827,94399.46998675998,80185.80397339999,117.7259132028845,81336.32898613998,,,93948.39,9800.88,Surplus
बायोमास/Biomass ,10757.31,10092.14,321.2446719999999,337.902395,95.07025601283469,RE_Monthly_Generation_report_Oct_2025,3112.039664,2873.394282,2268.762944,2024.543079,112.06296213368942,1947.518272,,,3085.38,26.66,Surplus
बगास/Bagasse,,,204.15359999999998,166.004483,122.98077516376469,RE_Monthly_Generation_report_Oct_2025,9369.8799005,11179.50804017,2201.398428,1835.9089929999998,119.9078187640862,1997.244828,,,9139.4,230.48,Surplus
लघु जल विद्युत्/Small Hydro ,5158.61,4296.173,1251.0913690000002,1457.5859695,85.83311003118162,RE_Monthly_Generation_report_Oct_2025,9016.81973476,10591.78633738,8628.9750101,8098.1792415,106.55450753522322,7377.8836411,,,8184.76,832.06,Surplus
बृहत् जल विद्युत्/Large Hydro($),50348.16,50348.16,16437.390000000003,14455.88,113.70729419447314,RE_Monthly_Generation_report_Oct_2025,127038.22,154325.21999999997,123602.89,109127.44,113.26472058723269,107165.5,,,119644.21,7394.01,Surplus
अन्य/Others,855.62,955.84,242.38060000000002,245.98420000000002,98.53502785951292,RE_Monthly_Generation_report_Oct_2025,2495.1251975000005,2299.7696202,1702.57275,1689.8033103,100.75567609686674,1460.19215,,,2585.55,-90.42,Deficit
कुल/Total Including Large Hydro,250643.43999999997,214932.18300000002,37925.88737062,32158.246659499993,117.93518400486604,RE_Monthly_Generation_report_Oct_2025,333588.6410580741,340712.6785797909,311954.41657085996,262088.24805919998,119.0264801573233,274028.52920024,,,312217.05,21371.59,Surplus
कुल/Total Excluding Large Hydro,200295.27999999997,164584.02300000002,21488.497370620003,17702.366659499996,121.38770924783763,RE_Monthly_Generation_report_Oct_2025,206550.421058074,186387.458579791,188351.52657085995,152960.80805919998,123.13711529162607,166863.02920023995,,,190384.59,16165.83,Surplus
,,,,,,RE_Monthly_Generation_report_Oct_2025,,,,,,311954.41657086,,,,,Deficit
 (*) Solar Installed capacity including 3.5 GW rooftop solar.,,,,,,RE_Monthly_Generation_report_Oct_2025,,,,,,,,,,,Deficit
"($) Large Hydro Generation data excluding  import from Bhutan.However,the import from Bhutan during October 2025  is 939.67 MUs and April 2025 to October 2025 is 7367.76 MUs.",,,,,,RE_Monthly_Generation_report_Oct_2025,,,,,,,,,,,Deficit
,,,,Month -September 2025,,RE_Monthly_Generation_report_Sept_2025,,,,,,,,,,,Deficit
, Central Electricity Authority / केन्द्रीय विद्युत प्राधिकरण,,,,,RE_Monthly_Generation_report_Sept_2025,,,,,,,,,,,Deficit
,Renewable Energy Project Monitoring Division/नवीकरणीय ऊर्जा परियोजना प्रबोधन प्रभाग,,,,,RE_Monthly_Generation_report_Sept_2025,,,,,,,,,,,Deficit
1. SUMMARY-ALL INDIA                                                                                                                                               AN OVERVIEW,,,,,,RE_Monthly_Generation_report_Sept_2025,,,,,,,,,,,Deficit
Category, Installed Capacity (MW)  (as on 30.09.2025),"Monitored Capacity (MW) 
(as on 30.09.2025)
for which generation data is available 
",RE Generation(MU) September'2025,RE Generation(MU) September'2024,% of same Month Last Year ,RE_Monthly_Generation_report_Sept_2025,,,RE Generation(MU) April'2025- September'2025,RE Generation(MU) April'2024- September'2024,% of same period Last Year ,,,,,,Deficit
,1,2,3,4,5,RE_Monthly_Generation_report_Sept_2025,,,6,7,8,,,,,,Deficit
पवन/Wind ,53123.8,51866.145,10399.593964000002,8870.615065,117.23644739171198,RE_Monthly_Generation_report_Sept_2025,78807.284749381,67673.092600214,72743.861323,55888.292104,130.1593922169499,62344.267359000005,,,78415.57,391.71,Surplus
सौर/Solar ,127332.29,96208.11(*),13556.16087862,11302.6197389,119.93821956129366,RE_Monthly_Generation_report_Sept_2025,103749.271811933,91769.907699827,81336.32898613998,67929.1917194,119.73693036437385,67780.16810751999,,,101712.28,2036.99,Surplus
बायोमास/Biomass ,10757.31,10072.323999999999,269.184727,258.145287,104.276444527922,RE_Monthly_Generation_report_Sept_2025,3112.039664,2873.394282,1947.518272,1686.640684,115.4672889415491,1678.333545,,,2842.98,269.06,Surplus
बगास/Bagasse,,,105.31800000000001,118.579,88.8167382082831,RE_Monthly_Generation_report_Sept_2025,9369.8799005,11179.50804017,1997.2448279999999,1669.9045099999998,119.60233750132217,1891.926828,,,9606.89,-237.01,Deficit
लघु जल विद्युत्/Small Hydro ,5133.610000000001,4296.173,1494.290376,1612.8323585,92.6500741459423,RE_Monthly_Generation_report_Sept_2025,9016.81973476,10591.78633738,7377.8836411,6640.593272,111.10277860577273,5883.5932651,,,8549.0,467.82,Surplus
बृहत् जल विद्युत्/Large Hydro($),50108.16,50108.16,22317.41,20574.25,108.47253241308918,RE_Monthly_Generation_report_Sept_2025,127038.22,154325.21999999997,107165.5,94671.56,113.19714178154454,84848.09,,,117888.64,9149.58,Surplus
अन्य/Others,854.4499999999999,938.835,239.8893,233.25939000000002,102.84229072192976,RE_Monthly_Generation_report_Sept_2025,2495.1251975000005,2299.7696202,1460.19215,1443.8191103,101.1340090724106,1220.30285,,,2260.87,234.26,Surplus
कुल/Total Including Large Hydro,247309.62000000002,213489.747,48381.84724562,42970.3008394,112.59368982880866,RE_Monthly_Generation_report_Sept_2025,333588.6410580741,340712.6785797909,274028.52920024,229930.0013997,119.17910996046186,225646.68195462,,,329797.05,3791.59,Surplus
कुल/Total Excluding Large Hydro,197201.46000000002,163381.587,26064.43724562,22396.0508394,116.37961278318957,RE_Monthly_Generation_report_Sept_2025,206550.421058074,186387.458579791,166863.02920023995,135258.4413997,123.36607421576429,140798.59195462,,,206888.06,-337.64,Deficit
,,,,,,RE_Monthly_Generation_report_Sept_2025,,,,,,274028.52920024,,,,,Deficit
 (*) Solar Installed capacity including 3.5 GW rooftop solar.,,,,,,RE_Monthly_Generation_report_Sept_2025,,,,,,,,,,,Deficit
"($) Large Hydro Generation data excluding  import from Bhutan.However,the import from Bhutan during September 2025  is 1406.82 MUs and April 2025 to September 2025 is 6302.16 MUs.",,,,,,RE_Monthly_Generation_report_Sept_2025,,,,,,,,,,,Deficit
